# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Saryn Prime Chassis Blueprint | Rare | 6.00% |
| Cernos Prime Blueprint | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Saryn Prime Systems Blueprint | Uncommon | 20.00% |
| Spira Prime Blueprint | Uncommon | 20.00% |
| Nikana Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Saryn Prime Chassis Blueprint | Uncommon | 10.00% |
| Cernos Prime Blueprint | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Saryn Prime Systems Blueprint | Uncommon | 16.67% |
| Spira Prime Blueprint | Uncommon | 16.67% |
| Nikana Prime Blueprint | Uncommon | 16.67% |

## Neo S14
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Stradavar Prime Blueprint | Rare | 2.00% |
| Fang Prime Handle | Uncommon | 11.00% |
| Pangolin Prime Blade | Uncommon | 11.00% |
| Karyst Prime Blueprint | Uncommon | 25.33% |
| Ninkondi Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Stradavar Prime Blueprint | Rare | 4.00% |
| Fang Prime Handle | Uncommon | 13.00% |
| Pangolin Prime Blade | Uncommon | 13.00% |
| Karyst Prime Blueprint | Uncommon | 23.33% |
| Ninkondi Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Stradavar Prime Blueprint | Rare | 6.00% |
| Fang Prime Handle | Uncommon | 17.00% |
| Pangolin Prime Blade | Uncommon | 17.00% |
| Karyst Prime Blueprint | Uncommon | 20.00% |
| Ninkondi Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Stradavar Prime Blueprint | Uncommon | 10.00% |
| Fang Prime Handle | Uncommon | 20.00% |
| Pangolin Prime Blade | Uncommon | 20.00% |
| Karyst Prime Blueprint | Uncommon | 16.67% |
| Ninkondi Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Neo S15
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Scourge Prime Barrel | Rare | 2.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 11.00% |
| Bronco Prime Barrel | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 25.33% |
| Astilla Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Scourge Prime Barrel | Rare | 4.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 13.00% |
| Bronco Prime Barrel | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 23.33% |
| Astilla Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Scourge Prime Barrel | Rare | 6.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 17.00% |
| Bronco Prime Barrel | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Astilla Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Scourge Prime Barrel | Uncommon | 10.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 20.00% |
| Bronco Prime Barrel | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Octavia Prime Neuroptics Blueprint | Uncommon | 16.67% |
| Astilla Prime Receiver | Uncommon | 16.67% |

## Neo S16
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 2.00% |
| Oberon Prime Blueprint | Uncommon | 11.00% |
| Aksomati Prime Barrel | Uncommon | 11.00% |
| Braton Prime Stock | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Lex Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 4.00% |
| Oberon Prime Blueprint | Uncommon | 13.00% |
| Aksomati Prime Barrel | Uncommon | 13.00% |
| Braton Prime Stock | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Lex Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 6.00% |
| Oberon Prime Blueprint | Uncommon | 17.00% |
| Aksomati Prime Barrel | Uncommon | 17.00% |
| Braton Prime Stock | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Lex Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Uncommon | 10.00% |
| Oberon Prime Blueprint | Uncommon | 20.00% |
| Aksomati Prime Barrel | Uncommon | 20.00% |
| Braton Prime Stock | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Lex Prime Receiver | Uncommon | 16.67% |

## Neo S17
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Rare | 2.00% |
| Hildryn Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Baruuk Prime Chassis Blueprint | Uncommon | 11.00% |
| Revenant Prime Chassis Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Paris Prime Lower Limb | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Rare | 4.00% |
| Hildryn Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Baruuk Prime Chassis Blueprint | Uncommon | 13.00% |
| Revenant Prime Chassis Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Paris Prime Lower Limb | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Rare | 6.00% |
| Hildryn Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Baruuk Prime Chassis Blueprint | Uncommon | 17.00% |
| Revenant Prime Chassis Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Paris Prime Lower Limb | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Uncommon | 10.00% |
| Hildryn Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Baruuk Prime Chassis Blueprint | Uncommon | 20.00% |
| Revenant Prime Chassis Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Paris Prime Lower Limb | Uncommon | 16.67% |

## Neo S18
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Shade Prime Carapace | Rare | 2.00% |
| Grendel Prime Chassis Blueprint | Uncommon | 11.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Tatsu Prime Blueprint | Uncommon | 25.33% |
| Hildryn Prime Systems Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Shade Prime Carapace | Rare | 4.00% |
| Grendel Prime Chassis Blueprint | Uncommon | 13.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Tatsu Prime Blueprint | Uncommon | 23.33% |
| Hildryn Prime Systems Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Shade Prime Carapace | Rare | 6.00% |
| Grendel Prime Chassis Blueprint | Uncommon | 17.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Tatsu Prime Blueprint | Uncommon | 20.00% |
| Hildryn Prime Systems Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Shade Prime Carapace | Uncommon | 10.00% |
| Grendel Prime Chassis Blueprint | Uncommon | 20.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Tatsu Prime Blueprint | Uncommon | 16.67% |
| Hildryn Prime Systems Blueprint | Uncommon | 16.67% |

## Neo S19
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Rare | 2.00% |
| Saryn Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Nidus Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Strun Prime Receiver | Uncommon | 25.33% |
| Paris Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Rare | 4.00% |
| Saryn Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Nidus Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Strun Prime Receiver | Uncommon | 23.33% |
| Paris Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Rare | 6.00% |
| Saryn Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Nidus Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Strun Prime Receiver | Uncommon | 20.00% |
| Paris Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Strun Prime Blueprint | Uncommon | 10.00% |
| Saryn Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Nidus Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Strun Prime Receiver | Uncommon | 16.67% |
| Paris Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Neo S2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Nyx Prime Systems Blueprint | Uncommon | 11.00% |
| Saryn Prime Chassis Blueprint | Rare | 2.00% |
| Burston Prime Stock | Uncommon | 25.33% |
| Paris Prime Lower Limb | Uncommon | 25.33% |
| Nova Prime Systems Blueprint | Uncommon | 25.33% |
| Paris Prime Upper Limb | Uncommon | 11.00% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Nyx Prime Systems Blueprint | Uncommon | 13.00% |
| Saryn Prime Chassis Blueprint | Rare | 4.00% |
| Burston Prime Stock | Uncommon | 23.33% |
| Paris Prime Lower Limb | Uncommon | 23.33% |
| Nova Prime Systems Blueprint | Uncommon | 23.33% |
| Paris Prime Upper Limb | Uncommon | 13.00% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Nyx Prime Systems Blueprint | Uncommon | 17.00% |
| Saryn Prime Chassis Blueprint | Rare | 6.00% |
| Burston Prime Stock | Uncommon | 20.00% |
| Paris Prime Lower Limb | Uncommon | 20.00% |
| Nova Prime Systems Blueprint | Uncommon | 20.00% |
| Paris Prime Upper Limb | Uncommon | 17.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Nyx Prime Systems Blueprint | Uncommon | 20.00% |
| Saryn Prime Chassis Blueprint | Uncommon | 10.00% |
| Burston Prime Stock | Uncommon | 16.67% |
| Paris Prime Lower Limb | Uncommon | 16.67% |
| Nova Prime Systems Blueprint | Uncommon | 16.67% |
| Paris Prime Upper Limb | Uncommon | 20.00% |

## Neo S20
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Sevagoth Prime Chassis Blueprint | Rare | 2.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Vadarya Prime Receiver | Uncommon | 11.00% |
| Sarofang Prime Handle | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |
| Kompressa Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Sevagoth Prime Chassis Blueprint | Rare | 4.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Vadarya Prime Receiver | Uncommon | 13.00% |
| Sarofang Prime Handle | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |
| Kompressa Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Sevagoth Prime Chassis Blueprint | Rare | 6.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Vadarya Prime Receiver | Uncommon | 17.00% |
| Sarofang Prime Handle | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |
| Kompressa Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Sevagoth Prime Chassis Blueprint | Uncommon | 10.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Vadarya Prime Receiver | Uncommon | 20.00% |
| Sarofang Prime Handle | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |
| Kompressa Prime Blueprint | Uncommon | 16.67% |

## Neo S3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Soma Prime Barrel | Uncommon | 25.33% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Vasto Prime Blueprint | Uncommon | 11.00% |
| Spira Prime Blade | Rare | 2.00% |
| Carrier Prime Blueprint | Uncommon | 25.33% |
| Burston Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Soma Prime Barrel | Uncommon | 23.33% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Vasto Prime Blueprint | Uncommon | 13.00% |
| Spira Prime Blade | Rare | 4.00% |
| Carrier Prime Blueprint | Uncommon | 23.33% |
| Burston Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Soma Prime Barrel | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Vasto Prime Blueprint | Uncommon | 17.00% |
| Spira Prime Blade | Rare | 6.00% |
| Carrier Prime Blueprint | Uncommon | 20.00% |
| Burston Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Soma Prime Barrel | Uncommon | 16.67% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Vasto Prime Blueprint | Uncommon | 20.00% |
| Spira Prime Blade | Uncommon | 10.00% |
| Carrier Prime Blueprint | Uncommon | 16.67% |
| Burston Prime Receiver | Uncommon | 16.67% |

## Neo S5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Sicarus Prime Receiver | Rare | 2.00% |
| Glaive Prime Disc | Uncommon | 11.00% |
| Frost Prime Systems Blueprint | Uncommon | 11.00% |
| Latron Prime Receiver | Uncommon | 25.33% |
| Ember Prime Neuroptics Blueprint | Uncommon | 25.33% |
| Reaper Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Sicarus Prime Receiver | Rare | 4.00% |
| Glaive Prime Disc | Uncommon | 13.00% |
| Frost Prime Systems Blueprint | Uncommon | 13.00% |
| Latron Prime Receiver | Uncommon | 23.33% |
| Ember Prime Neuroptics Blueprint | Uncommon | 23.33% |
| Reaper Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Sicarus Prime Receiver | Rare | 6.00% |
| Glaive Prime Disc | Uncommon | 17.00% |
| Frost Prime Systems Blueprint | Uncommon | 17.00% |
| Latron Prime Receiver | Uncommon | 20.00% |
| Ember Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Reaper Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Sicarus Prime Receiver | Uncommon | 10.00% |
| Glaive Prime Disc | Uncommon | 20.00% |
| Frost Prime Systems Blueprint | Uncommon | 20.00% |
| Latron Prime Receiver | Uncommon | 16.67% |
| Ember Prime Neuroptics Blueprint | Uncommon | 16.67% |
| Reaper Prime Blueprint | Uncommon | 16.67% |

## Neo S6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 2.00% |
| Tigris Prime Receiver | Uncommon | 11.00% |
| Kavasa Prime Buckle | Uncommon | 11.00% |
| Burston Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 4.00% |
| Tigris Prime Receiver | Uncommon | 13.00% |
| Kavasa Prime Buckle | Uncommon | 13.00% |
| Burston Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 6.00% |
| Tigris Prime Receiver | Uncommon | 17.00% |
| Kavasa Prime Buckle | Uncommon | 17.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Uncommon | 10.00% |
| Tigris Prime Receiver | Uncommon | 20.00% |
| Kavasa Prime Buckle | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 16.67% |

## Neo S7
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 2.00% |
| Sybaris Prime Receiver | Uncommon | 11.00% |
| Ballistica Prime Receiver | Uncommon | 11.00% |
| Banshee Prime Neuroptics Blueprint | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |
| Helios Prime Carapace | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 4.00% |
| Sybaris Prime Receiver | Uncommon | 13.00% |
| Ballistica Prime Receiver | Uncommon | 13.00% |
| Banshee Prime Neuroptics Blueprint | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |
| Helios Prime Carapace | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 6.00% |
| Sybaris Prime Receiver | Uncommon | 17.00% |
| Ballistica Prime Receiver | Uncommon | 17.00% |
| Banshee Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |
| Helios Prime Carapace | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Uncommon | 10.00% |
| Sybaris Prime Receiver | Uncommon | 20.00% |
| Ballistica Prime Receiver | Uncommon | 20.00% |
| Banshee Prime Neuroptics Blueprint | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |
| Helios Prime Carapace | Uncommon | 16.67% |

## Neo S8
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Spira Prime Pouch | Rare | 2.00% |
| Nikana Prime Blueprint | Uncommon | 11.00% |
| Fragor Prime Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Bronco Prime Receiver | Uncommon | 25.33% |
| Hydroid Prime Chassis Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Spira Prime Pouch | Rare | 4.00% |
| Nikana Prime Blueprint | Uncommon | 13.00% |
| Fragor Prime Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Bronco Prime Receiver | Uncommon | 23.33% |
| Hydroid Prime Chassis Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Spira Prime Pouch | Rare | 6.00% |
| Nikana Prime Blueprint | Uncommon | 17.00% |
| Fragor Prime Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Bronco Prime Receiver | Uncommon | 20.00% |
| Hydroid Prime Chassis Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Spira Prime Pouch | Uncommon | 10.00% |
| Nikana Prime Blueprint | Uncommon | 20.00% |
| Fragor Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Bronco Prime Receiver | Uncommon | 16.67% |
| Hydroid Prime Chassis Blueprint | Uncommon | 16.67% |

## Neo S9
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 2.00% |
| Destreza Prime Blueprint | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Akjagara Prime Blueprint | Uncommon | 25.33% |
| Bronco Prime Blueprint | Uncommon | 25.33% |
| Mirage Prime Neuroptics Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 4.00% |
| Destreza Prime Blueprint | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Akjagara Prime Blueprint | Uncommon | 23.33% |
| Bronco Prime Blueprint | Uncommon | 23.33% |
| Mirage Prime Neuroptics Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Rare | 6.00% |
| Destreza Prime Blueprint | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Akjagara Prime Blueprint | Uncommon | 20.00% |
| Bronco Prime Blueprint | Uncommon | 20.00% |
| Mirage Prime Neuroptics Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Silva & Aegis Prime Guard | Uncommon | 10.00% |
| Destreza Prime Blueprint | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Akjagara Prime Blueprint | Uncommon | 16.67% |
| Bronco Prime Blueprint | Uncommon | 16.67% |
| Mirage Prime Neuroptics Blueprint | Uncommon | 16.67% |

## Neo T1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Tigris Prime Blueprint | Rare | 2.00% |
| Banshee Prime Blueprint | Uncommon | 11.00% |
| Fragor Prime Handle | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Dual Kamas Prime Blueprint | Uncommon | 25.33% |
| Burston Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Tigris Prime Blueprint | Rare | 4.00% |
| Banshee Prime Blueprint | Uncommon | 13.00% |
| Fragor Prime Handle | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Dual Kamas Prime Blueprint | Uncommon | 23.33% |
| Burston Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Tigris Prime Blueprint | Rare | 6.00% |
| Banshee Prime Blueprint | Uncommon | 17.00% |
| Fragor Prime Handle | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Dual Kamas Prime Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Tigris Prime Blueprint | Uncommon | 10.00% |
| Banshee Prime Blueprint | Uncommon | 20.00% |
| Fragor Prime Handle | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Dual Kamas Prime Blueprint | Uncommon | 16.67% |
| Burston Prime Blueprint | Uncommon | 16.67% |

## Neo T10
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Trumna Prime Receiver | Rare | 2.00% |
| Gyre Prime Blueprint | Uncommon | 11.00% |
| Nautilus Prime Systems | Uncommon | 11.00% |
| Lex Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Dual Zoren Prime Handle | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Trumna Prime Receiver | Rare | 4.00% |
| Gyre Prime Blueprint | Uncommon | 13.00% |
| Nautilus Prime Systems | Uncommon | 13.00% |
| Lex Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Dual Zoren Prime Handle | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Trumna Prime Receiver | Rare | 6.00% |
| Gyre Prime Blueprint | Uncommon | 17.00% |
| Nautilus Prime Systems | Uncommon | 17.00% |
| Lex Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Dual Zoren Prime Handle | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Trumna Prime Receiver | Uncommon | 10.00% |
| Gyre Prime Blueprint | Uncommon | 20.00% |
| Nautilus Prime Systems | Uncommon | 20.00% |
| Lex Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Dual Zoren Prime Handle | Uncommon | 16.67% |

## Neo T2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Tekko Prime Blade | Rare | 2.00% |
| Dethcube Prime Carapace | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Akbronco Prime Blueprint | Uncommon | 25.33% |
| Wukong Prime Neuroptics Blueprint | Uncommon | 25.33% |
| Fang Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Tekko Prime Blade | Rare | 4.00% |
| Dethcube Prime Carapace | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Akbronco Prime Blueprint | Uncommon | 23.33% |
| Wukong Prime Neuroptics Blueprint | Uncommon | 23.33% |
| Fang Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Tekko Prime Blade | Rare | 6.00% |
| Dethcube Prime Carapace | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Akbronco Prime Blueprint | Uncommon | 20.00% |
| Wukong Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Fang Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Tekko Prime Blade | Uncommon | 10.00% |
| Dethcube Prime Carapace | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Akbronco Prime Blueprint | Uncommon | 16.67% |
| Wukong Prime Neuroptics Blueprint | Uncommon | 16.67% |
| Fang Prime Blueprint | Uncommon | 16.67% |

## Neo T3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Titania Prime Systems Blueprint | Rare | 2.00% |
| Inaros Prime Chassis Blueprint | Uncommon | 11.00% |
| Atlas Prime Chassis Blueprint | Uncommon | 11.00% |
| Redeemer Prime Blade | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
