# Mission & Bounty Drop Tables
FORMAT: Mission rewards organized by ## Planet, ### Node — Mode. Rotation rewards in tables: Item | Rarity | Chance. Bounties show tier rewards with stage and % in tables.
INDEX: Mission Rewards (24 entries) | Sortie Rewards (1 entries) | Transient Rewards (51 entries) | Key Rewards (24 entries) | Cetus Bounty Rewards (10 entries) | Solaris Bounty Rewards (11 entries) | Deimos Bounty Rewards (12 entries) | Zariman Bounty Rewards (5 entries) | Entrati Lab Rewards (5 entries) | Hex Bounty Rewards (7 entries)

# Mission Rewards
All mission reward tables organized by planet and node. Shows game mode, rotation rewards (A/B/C), item names, rarity, and exact drop percentages.

## Mercury
### Apollodorus — Survival
**Rotation A:**
| Item | Rarity | Chance |
| Flow | Rare | 6.67% |
| Split Chamber | Rare | 6.67% |
| Stabilizer | Rare | 6.67% |
| Neo C7 Relic | Rare | 6.67% |
| Neo S20 Relic | Rare | 6.67% |
| Neo P10 Relic | Rare | 6.67% |
| Neo N24 Relic | Rare | 6.67% |
| Neo V11 Relic | Rare | 6.67% |
| Neo K9 Relic | Rare | 6.67% |
| Neo T10 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Cleanse Infested | Rare | 3.76% |
| Pistol Ammo Mutation | Rare | 3.76% |
| Arrow Mutation | Rare | 3.76% |
| Rifle Ammo Mutation | Rare | 3.76% |
| Sniper Ammo Mutation | Rare | 3.76% |
| Shotgun Ammo Mutation | Rare | 3.76% |
| Axi S20 Relic | Uncommon | 11.06% |
| Axi D6 Relic | Uncommon | 11.06% |
| Axi V14 Relic | Uncommon | 11.06% |
| Axi T13 Relic | Uncommon | 11.06% |
| Axi Y1 Relic | Uncommon | 11.06% |
| Axi C11 Relic | Uncommon | 11.06% |
| Axi Y3 Relic | Uncommon | 11.06% |

### StöFler — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.00% |
| Magazine Warp | Uncommon | 10.00% |
| Trick Mag | Uncommon | 10.00% |
| Neo C7 Relic | Uncommon | 10.00% |
| Neo S20 Relic | Uncommon | 10.00% |
| Neo N24 Relic | Uncommon | 10.00% |
| Neo V11 Relic | Uncommon | 10.00% |
| Neo K9 Relic | Uncommon | 10.00% |
| Neo P10 Relic | Uncommon | 10.00% |
| Neo T10 Relic | Uncommon | 10.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Hornet Strike | Rare | 6.67% |
| Reflex Coil | Rare | 6.67% |
| Deep Freeze | Rare | 6.67% |
| North Wind | Rare | 6.67% |
| Hell's Chamber | Rare | 6.67% |
| Streamline | Rare | 6.67% |
| Shocking Touch | Rare | 6.67% |
| 200 Endo | Rare | 6.67% |
| Axi S20 Relic | Rare | 6.67% |
| Axi D6 Relic | Rare | 6.67% |
| Axi V14 Relic | Rare | 6.67% |
| Axi T13 Relic | Rare | 6.67% |
| Axi Y1 Relic | Rare | 6.67% |
| Axi C11 Relic | Rare | 6.67% |
| Axi Y3 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Vital Sense | Rare | 2.26% |
| Metal Auger | Rare | 2.26% |
| Ravage | Rare | 2.26% |
| Stretch | Rare | 2.26% |
| Handspring | Rare | 2.26% |
| Convulsion | Rare | 2.26% |
| Split Chamber | Rare | 2.26% |
| Continuity | Rare | 2.26% |
| Master Thief | Rare | 2.26% |
| 400 Endo | Rare | 2.26% |
| Axi S20 Relic | Uncommon | 11.06% |
| Axi D6 Relic | Uncommon | 11.06% |
| Axi V14 Relic | Uncommon | 11.06% |
| Axi T13 Relic | Uncommon | 11.06% |
| Axi Y1 Relic | Uncommon | 11.06% |
| Axi C11 Relic | Uncommon | 11.06% |
| Axi Y3 Relic | Uncommon | 11.06% |

### Copernicus — Capture
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.84% |
| Fast Deflection | Uncommon | 10.84% |
| Rush | Uncommon | 11.06% |
| Magazine Warp | Uncommon | 10.84% |
| Trick Mag | Uncommon | 10.84% |
| Pressure Point | Legendary | 0.34% |
| Ammo Drum | Uncommon | 11.06% |
| Fast Hands | Uncommon | 10.84% |
| Quickdraw | Uncommon | 10.84% |
| Health Restore (Large) | Uncommon | 10.84% |
| Omni Ammo Box | Legendary | 0.34% |
| North Wind | Legendary | 0.34% |
| Shocking Touch | Legendary | 0.34% |
| Molten Impact | Legendary | 0.34% |
| Stretch | Legendary | 0.34% |

### Zeipel — Rescue
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Phase Specter Blueprint | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Force Specter Blueprint | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Cosmic Specter Blueprint | Common | 100.00% |

### Apollo — Disruption
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Neo C7 Relic | Uncommon | 14.29% |
| Neo S20 Relic | Uncommon | 14.29% |
| Neo P10 Relic | Uncommon | 14.29% |
| Neo N24 Relic | Uncommon | 14.29% |
| Neo V11 Relic | Uncommon | 14.29% |
| Neo K9 Relic | Uncommon | 14.29% |
| Neo T10 Relic | Uncommon | 14.29% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Axi S20 Relic | Uncommon | 14.29% |
| Axi D6 Relic | Uncommon | 14.29% |
| Axi V14 Relic | Uncommon | 14.29% |
| Axi T13 Relic | Uncommon | 14.29% |
| Axi Y1 Relic | Uncommon | 14.29% |
| Axi C11 Relic | Uncommon | 14.29% |
| Axi Y3 Relic | Uncommon | 14.29% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Axi S20 Relic | Uncommon | 12.42% |
| Axi D6 Relic | Uncommon | 12.42% |
| Axi V14 Relic | Uncommon | 12.42% |
| Lua Lens Blueprint | Rare | 8.05% |
| Universal Medallion | Rare | 5.03% |
| Axi T13 Relic | Uncommon | 12.42% |
| Axi Y1 Relic | Uncommon | 12.42% |
| Axi C11 Relic | Uncommon | 12.42% |
| Axi Y3 Relic | Uncommon | 12.42% |

### Yuvarium — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 3,000 Credits Cache | Common | 38.72% |
| Somatic Fibers | Common | 38.72% |
| 400 Endo | Rare | 7.52% |
| Perigale Blueprint | Rare | 7.52% |
| Sarofang Blueprint | Rare | 7.52% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Neo C7 Relic | Uncommon | 10.00% |
| Neo S20 Relic | Uncommon | 10.00% |
| Neo P10 Relic | Uncommon | 10.00% |
| Neo N24 Relic | Uncommon | 10.00% |
| Neo V11 Relic | Uncommon | 10.00% |
| Neo K9 Relic | Uncommon | 10.00% |
| Neo T10 Relic | Uncommon | 10.00% |
| Sarofang Blade | Rare | 6.00% |
| Sarofang Handle | Rare | 6.00% |
| Perigale Barrel | Rare | 6.00% |
| Perigale Receiver | Rare | 6.00% |
| Perigale Stock | Rare | 6.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Axi S20 Relic | Uncommon | 11.36% |
| Axi D6 Relic | Uncommon | 11.36% |
| Axi V14 Relic | Uncommon | 11.36% |
| Axi T13 Relic | Uncommon | 11.36% |
| Axi Y1 Relic | Uncommon | 11.36% |
| Axi C11 Relic | Uncommon | 11.36% |
| Axi Y3 Relic | Uncommon | 11.36% |
| Voruna Blueprint | Rare | 6.82% |
| Voruna Chassis Blueprint | Rare | 4.55% |
| Voruna Neuroptics Blueprint | Rare | 4.55% |
| Voruna Systems Blueprint | Rare | 4.55% |

### Yuvarium (Extra) — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 3X Lua Thrax Plasm | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 3X Lua Thrax Plasm | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 3X Lua Thrax Plasm | Common | 100.00% |

### Circulus — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Common | 38.72% |
| Somatic Fibers | Common | 38.72% |
| Perigale Blueprint | Uncommon | 11.28% |
| Sarofang Blueprint | Uncommon | 11.28% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Neo C7 Relic | Rare | 4.76% |
| Neo S20 Relic | Rare | 4.76% |
| Neo P10 Relic | Rare | 4.76% |
| Neo N24 Relic | Rare | 4.76% |
| Neo V11 Relic | Rare | 4.76% |
| Neo K9 Relic | Rare | 4.76% |
| Neo T10 Relic | Rare | 4.76% |
| Sarofang Blade | Uncommon | 10.16% |
| Sarofang Handle | Uncommon | 10.16% |
| Perigale Barrel | Uncommon | 10.16% |
| Perigale Receiver | Uncommon | 10.16% |
| Perigale Stock | Uncommon | 10.16% |
| Conjunction Voltage | Rare | 7.94% |
| Arcane Rise | Rare | 7.94% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Axi S20 Relic | Rare | 6.12% |
| Axi D6 Relic | Rare | 6.12% |
| Axi V14 Relic | Rare | 6.12% |
| Axi T13 Relic | Rare | 6.12% |
| Axi Y1 Relic | Rare | 6.12% |
| Axi C11 Relic | Rare | 6.12% |
| Axi Y3 Relic | Rare | 6.12% |
| Voruna Blueprint | Uncommon | 12.24% |
| Voruna Chassis Blueprint | Rare | 8.16% |
| Voruna Neuroptics Blueprint | Rare | 8.16% |
| Voruna Systems Blueprint | Rare | 8.16% |
| Arcane Blessing | Uncommon | 10.20% |
| Primary Frostbite | Uncommon | 10.20% |

### Circulus (Extra) — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Lua Thrax Plasm | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Lua Thrax Plasm | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 5X Lua Thrax Plasm | Common | 100.00% |

## Kuva Fortress
### Nabuk — Defense
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Vitality | Uncommon | 10.00% |
| Magazine Warp | Uncommon | 10.00% |
| Trick Mag | Uncommon | 10.00% |
| Neo C7 Relic | Uncommon | 10.00% |
| Neo S20 Relic | Uncommon | 10.00% |
| Neo N24 Relic | Uncommon | 10.00% |
| Neo V11 Relic | Uncommon | 10.00% |
| Neo K9 Relic | Uncommon | 10.00% |
| Neo P10 Relic | Uncommon | 10.00% |
| Neo T10 Relic | Uncommon | 10.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Hornet Strike | Rare | 6.67% |
| Reflex Coil | Rare | 6.67% |
| Deep Freeze | Rare | 6.67% |
| North Wind | Rare | 6.67% |
| Hell's Chamber | Rare | 6.67% |
| Streamline | Rare | 6.67% |
| Shocking Touch | Rare | 6.67% |
| 200 Endo | Rare | 6.67% |
| Axi S20 Relic | Rare | 6.67% |
| Axi D6 Relic | Rare | 6.67% |
| Axi V14 Relic | Rare | 6.67% |
| Axi T13 Relic | Rare | 6.67% |
| Axi Y1 Relic | Rare | 6.67% |
| Axi C11 Relic | Rare | 6.67% |
| Axi Y3 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Vital Sense | Rare | 2.26% |
| Metal Auger | Rare | 2.26% |
| Ravage | Rare | 2.26% |
| Stretch | Rare | 2.26% |
| Handspring | Rare | 2.26% |
| Convulsion | Rare | 2.26% |
| Split Chamber | Rare | 2.26% |
| Continuity | Rare | 2.26% |
| Master Thief | Rare | 2.26% |
| 400 Endo | Rare | 2.26% |
| Axi S20 Relic | Uncommon | 11.06% |
| Axi D6 Relic | Uncommon | 11.06% |
| Axi V14 Relic | Uncommon | 11.06% |
| Axi T13 Relic | Uncommon | 11.06% |
| Axi Y1 Relic | Uncommon | 11.06% |
| Axi C11 Relic | Uncommon | 11.06% |
| Axi Y3 Relic | Uncommon | 11.06% |

### Taveuni — Survival
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 3,000 Credits Cache | Uncommon | 25.00% |
| 3,000 Credits Cache | Uncommon | 25.00% |
| 3,000 Credits Cache | Uncommon | 25.00% |
| 400 Endo | Uncommon | 25.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Steel Fiber | Rare | 6.67% |
| Stretch | Rare | 6.67% |
| Serration | Rare | 6.67% |
| Hell's Chamber | Rare | 6.67% |
| Hornet Strike | Rare | 6.67% |
| Flow | Rare | 6.67% |
| Split Chamber | Rare | 6.67% |
| Stabilizer | Rare | 6.67% |
| Neo C7 Relic | Rare | 6.67% |
| Neo S20 Relic | Rare | 6.67% |
| Neo P10 Relic | Rare | 6.67% |
| Neo N24 Relic | Rare | 6.67% |
| Neo V11 Relic | Rare | 6.67% |
| Neo K9 Relic | Rare | 6.67% |
| Neo T10 Relic | Rare | 6.67% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Pistol Ammo Mutation | Rare | 4.00% |
| Arrow Mutation | Rare | 4.00% |
| Rifle Ammo Mutation | Rare | 4.00% |
| Sniper Ammo Mutation | Rare | 4.00% |
| Shotgun Ammo Mutation | Rare | 4.00% |
| Axi S20 Relic | Rare | 8.00% |
| Axi D6 Relic | Rare | 8.00% |
| Axi V14 Relic | Rare | 8.00% |
| Axi T13 Relic | Rare | 8.00% |
| Axi Y1 Relic | Rare | 8.00% |
| Axi C11 Relic | Rare | 8.00% |
| Axi Y3 Relic | Rare | 8.00% |
| Harrow Neuroptics Blueprint | Uncommon | 12.00% |
| Harrow Systems Blueprint | Uncommon | 12.00% |

### Tamu — Disruption
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 100X Kuva | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 200X Kuva | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 350X Kuva | Common | 95.00% |
| Universal Medallion | Rare | 5.00% |

### Dakata (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 10,000 Credits Cache | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 12.65% |
| 400 Endo | Uncommon | 11.06% |
| 400 Endo | Uncommon | 11.06% |
| 400 Endo | Rare | 2.01% |
| 400X Circuits | Uncommon | 12.65% |
| 400X Rubedo | Uncommon | 12.65% |
| 300X Plastids | Uncommon | 12.65% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 600 Endo | Uncommon | 10.79% |
| 600 Endo | Uncommon | 10.79% |
| 600 Endo | Uncommon | 10.79% |
| 600 Endo | Rare | 3.67% |
| Orokin Cell | Uncommon | 10.79% |
| Gallium | Uncommon | 10.79% |
| Neurodes | Uncommon | 10.79% |
| Cyclone Kraken | Uncommon | 10.79% |
| 2X Orokin Cell | Rare | 3.67% |
| 2X Gallium | Rare | 3.67% |
| 2X Neural Sensors | Rare | 3.67% |
| Argon Crystal | Rare | 3.67% |
| Tellurium | Rare | 3.67% |
| Nitain Extract | Rare | 2.00% |
| Xiphos Avionics Blueprint | Legendary | 0.50% |

### Pago — Spy
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 2,500 Credits Cache | Uncommon | 20.00% |
| Harrow Neuroptics Blueprint | Uncommon | 16.67% |
| Steady Hands | Uncommon | 13.33% |
| Stabilizer | Uncommon | 13.33% |
| Power Throw | Uncommon | 13.33% |
| Stretch | Uncommon | 13.33% |
| 200 Endo | Uncommon | 10.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Untraceable | Uncommon | 10.00% |
| Runtime | Uncommon | 10.00% |
| Scorch | Uncommon | 10.00% |
| Thermite Rounds | Uncommon | 10.00% |
| Frostbite | Uncommon | 10.00% |
| Frigid Blast | Uncommon | 10.00% |
| Arrow Mutation | Uncommon | 10.00% |
| Sniper Ammo Mutation | Uncommon | 10.00% |
| Shotgun Ammo Mutation | Uncommon | 10.00% |
| Covert Lethality | Uncommon | 10.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Meso L4 Relic | Rare | 9.68% |
| Meso V15 Relic | Rare | 9.68% |
| Meso X1 Relic | Rare | 9.68% |
| Meso D8 Relic | Rare | 9.68% |
| Meso V13 Relic | Rare | 9.68% |
| Meso A10 Relic | Rare | 9.68% |
| Meso A9 Relic | Rare | 9.68% |
| Meso E7 Relic | Rare | 9.68% |
| Neo C7 Relic | Rare | 3.22% |
| Neo S20 Relic | Rare | 3.22% |
| Neo P10 Relic | Rare | 3.22% |
| Neo N24 Relic | Rare | 3.22% |
| Neo V11 Relic | Rare | 3.22% |
| Neo K9 Relic | Rare | 3.22% |
| Neo T10 Relic | Rare | 3.22% |

### Garus — Rescue
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Phase Specter Blueprint | Common | 100.00% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Force Specter Blueprint | Common | 100.00% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Cosmic Specter Blueprint | Common | 100.00% |

## Sanctuary
### Sanctuary Onslaught — Sanctuary Onslaught
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| Khora Neuroptics Blueprint | Rare | 7.14% |
| Khora Chassis Blueprint | Rare | 7.14% |
| Khora Systems Blueprint | Rare | 7.14% |
| Synthetic Eidolon Shard | Rare | 7.14% |
| 300 Endo | Rare | 7.14% |
| Corpus Depository Scene | Rare | 7.14% |
| Grineer Sealab Centrifuge Scene | Rare | 7.14% |
| Lith C14 Relic | Rare | 7.14% |
| Lith E2 Relic | Rare | 7.14% |
| Lith K12 Relic | Rare | 7.14% |
| Lith N18 Relic | Rare | 7.14% |
| Lith G14 Relic | Rare | 7.14% |
| Lith N19 Relic | Rare | 7.14% |
| Lith Q2 Relic | Rare | 7.14% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Khora Neuroptics Blueprint | Rare | 7.14% |
| Khora Chassis Blueprint | Rare | 7.14% |
| Khora Systems Blueprint | Rare | 7.14% |
| Synthetic Eidolon Shard | Rare | 7.14% |
| 300 Endo | Rare | 7.14% |
| Grineer Settlement Artillery Scene | Rare | 7.14% |
| Meso L4 Relic | Rare | 7.14% |
| Meso V15 Relic | Rare | 7.14% |
| Meso X1 Relic | Rare | 7.14% |
| Meso D8 Relic | Rare | 7.14% |
| Meso V13 Relic | Rare | 7.14% |
| Meso A10 Relic | Rare | 7.14% |
| Meso A9 Relic | Rare | 7.14% |
| Meso E7 Relic | Rare | 7.14% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| Khora Neuroptics Blueprint | Rare | 9.09% |
| Khora Chassis Blueprint | Rare | 9.09% |
| Khora Systems Blueprint | Rare | 9.09% |
| 600 Endo | Rare | 9.09% |
| Neo C7 Relic | Rare | 9.09% |
| Neo S20 Relic | Rare | 9.09% |
| Neo P10 Relic | Rare | 9.09% |
| Neo N24 Relic | Rare | 9.09% |
| Neo V11 Relic | Rare | 9.09% |
| Neo K9 Relic | Rare | 9.09% |
| Neo T10 Relic | Rare | 9.09% |

### Elite Sanctuary Onslaught — Sanctuary Onslaught
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Rare | 7.04% |
| Lato Vandal Barrel | Rare | 2.51% |
| Lato Vandal Receiver | Rare | 2.51% |
| Lato Vandal Blueprint | Rare | 2.51% |
| Braton Vandal Barrel | Rare | 2.51% |
| Braton Vandal Receiver | Rare | 2.51% |
| Braton Vandal Stock | Rare | 2.51% |
| Braton Vandal Blueprint | Rare | 2.51% |
| Kuva Fortress Crevice Scene | Rare | 2.51% |
| Lua Balcony Scene | Rare | 2.51% |
| Lith C14 Relic (Radiant) | Rare | 7.04% |
| Lith E2 Relic (Radiant) | Rare | 7.04% |
| Lith K12 Relic (Radiant) | Rare | 7.04% |
| Lith N18 Relic (Radiant) | Rare | 7.04% |
| Lith G14 Relic (Radiant) | Rare | 7.04% |
| Lith N19 Relic (Radiant) | Rare | 7.04% |
| Lith Q2 Relic (Radiant) | Rare | 7.04% |
| Meso L4 Relic (Radiant) | Rare | 7.04% |
| Meso V15 Relic (Radiant) | Rare | 7.04% |
| Meso X1 Relic (Radiant) | Rare | 7.04% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Synthetic Eidolon Shard | Rare | 8.43% |
| 400 Endo | Rare | 8.43% |
| Lato Vandal Barrel | Rare | 3.16% |
| Lato Vandal Receiver | Rare | 3.16% |
| Lato Vandal Blueprint | Rare | 3.16% |
| Braton Vandal Barrel | Rare | 3.16% |
| Braton Vandal Receiver | Rare | 3.16% |
| Braton Vandal Stock | Rare | 3.16% |
| Braton Vandal Blueprint | Rare | 3.16% |
| Peculiar Growth | Rare | 2.01% |
| Meso D8 Relic (Radiant) | Rare | 8.43% |
| Meso V13 Relic (Radiant) | Rare | 8.43% |
| Meso A10 Relic (Radiant) | Rare | 8.43% |
| Meso A9 Relic (Radiant) | Rare | 8.43% |
| Neo S20 Relic (Radiant) | Rare | 8.43% |
| Neo N24 Relic (Radiant) | Rare | 8.43% |
| Neo P10 Relic (Radiant) | Rare | 8.43% |
**Rotation C:**
| Item | Rarity | Chance |
|---|---|---|
| 750 Endo | Rare | 6.32% |
| Lato Vandal Barrel | Rare | 3.16% |
| Lato Vandal Receiver | Rare | 3.16% |
| Lato Vandal Blueprint | Rare | 3.16% |
| Braton Vandal Barrel | Rare | 3.16% |
| Braton Vandal Receiver | Rare | 3.16% |
| Braton Vandal Stock | Rare | 3.16% |
| Braton Vandal Blueprint | Rare | 3.16% |
| Peculiar Bloom | Rare | 2.01% |
| Neo V11 Relic (Radiant) | Rare | 6.32% |
| Neo C7 Relic (Radiant) | Rare | 6.32% |
| Neo K9 Relic (Radiant) | Rare | 6.32% |
| Neo T10 Relic (Radiant) | Rare | 6.32% |
| Axi S20 Relic (Radiant) | Rare | 6.32% |
| Axi D6 Relic (Radiant) | Rare | 6.32% |
| Axi V14 Relic (Radiant) | Rare | 6.32% |
| Axi T13 Relic (Radiant) | Rare | 6.32% |
| Axi Y1 Relic (Radiant) | Rare | 6.32% |
| Axi C11 Relic (Radiant) | Rare | 6.32% |
| Axi Y3 Relic (Radiant) | Rare | 6.32% |

## Veil Proxima
### Flexa — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| Rush Repair Drone | Legendary | 0.50% |
| 400 Endo | Uncommon | 20.00% |
| 600 Endo | Uncommon | 10.00% |
| 3X Riven Sliver | Rare | 5.00% |
| Forma Blueprint | Rare | 2.50% |
| Lavan Engines Mk Iii | Rare | 6.00% |
| Lavan Reactor Mk Iii | Rare | 6.00% |
| Lavan Shield Array Mk Iii | Rare | 6.00% |
| Lavan Plating Mk Iii | Rare | 6.00% |
| Vidar Engines Mk Iii | Rare | 6.00% |
| Vidar Reactor Mk Iii | Rare | 6.00% |
| Vidar Shield Array Mk Iii | Rare | 6.00% |
| Vidar Plating Mk Iii | Rare | 6.00% |
| Neo C7 Relic | Rare | 2.00% |
| Neo S20 Relic | Rare | 2.00% |
| Neo P10 Relic | Rare | 2.00% |
| Neo N24 Relic | Rare | 2.00% |
| Neo V11 Relic | Rare | 2.00% |
| Neo K9 Relic | Rare | 2.00% |
| Neo T10 Relic | Rare | 2.00% |

### Flexa (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Carbides | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Gallos Rods | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Komms | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### Flexa (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 25.00% |
| 600 Endo | Uncommon | 15.00% |
| Seeker Volley | Rare | 4.00% |
| Void Hole | Rare | 4.00% |
| Phoenix Blaze | Rare | 4.00% |
| Neo C7 Relic | Rare | 4.80% |
| Neo S20 Relic | Rare | 4.80% |
| Neo P10 Relic | Rare | 4.80% |
| Neo N24 Relic | Rare | 4.80% |
| Neo V11 Relic | Rare | 4.80% |
| Neo K9 Relic | Rare | 4.80% |
| Neo T10 Relic | Rare | 4.80% |
| Neo V9 Relic | Rare | 4.80% |
| Axi V10 Relic | Rare | 4.80% |
| Axi S8 Relic | Rare | 4.80% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Spectra Vandal Blueprint | Rare | 8.70% |
| Spectra Vandal Barrel | Rare | 6.52% |
| Spectra Vandal Chassis | Rare | 6.52% |
| Spectra Vandal Handle | Rare | 6.52% |
| 450 Endo | Uncommon | 17.39% |
| 1200 Endo | Uncommon | 13.04% |
| 450 Endo | Rare | 8.70% |
| 600 Endo | Rare | 4.35% |
| Ignis Wraith Blueprint | Rare | 8.70% |
| Neo V9 Relic | Rare | 6.52% |
| Axi V10 Relic | Rare | 6.52% |
| Axi S8 Relic | Rare | 6.52% |

### H-2 Cloud — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| Rush Repair Drone | Legendary | 0.50% |
| 400 Endo | Uncommon | 20.00% |
| 600 Endo | Uncommon | 10.00% |
| 3X Riven Sliver | Rare | 5.00% |
| Forma Blueprint | Rare | 2.50% |
| Lavan Engines Mk Iii | Rare | 6.00% |
| Lavan Reactor Mk Iii | Rare | 6.00% |
| Lavan Shield Array Mk Iii | Rare | 6.00% |
| Lavan Plating Mk Iii | Rare | 6.00% |
| Vidar Engines Mk Iii | Rare | 6.00% |
| Vidar Reactor Mk Iii | Rare | 6.00% |
| Vidar Shield Array Mk Iii | Rare | 6.00% |
| Vidar Plating Mk Iii | Rare | 6.00% |
| Neo C7 Relic | Rare | 2.00% |
| Neo S20 Relic | Rare | 2.00% |
| Neo P10 Relic | Rare | 2.00% |
| Neo N24 Relic | Rare | 2.00% |
| Neo V11 Relic | Rare | 2.00% |
| Neo K9 Relic | Rare | 2.00% |
| Neo T10 Relic | Rare | 2.00% |

### H-2 Cloud (Extra) — Skirmish
| Item | Rarity | Chance |
|---|---|---|
| 200X Carbides | Uncommon | 28.57% |
| 200X Titanium | Uncommon | 28.57% |
| 5X Gallos Rods | Uncommon | 14.29% |
| 5X Asterite | Uncommon | 14.29% |
| Komms | Rare | 7.14% |
| Nullstones | Rare | 7.14% |

### H-2 Cloud (Caches) — Caches
**Rotation A:**
| Item | Rarity | Chance |
|---|---|---|
| 400 Endo | Uncommon | 25.00% |
| 600 Endo | Uncommon | 15.00% |
| Seeker Volley | Rare | 4.00% |
| Void Hole | Rare | 4.00% |
| Phoenix Blaze | Rare | 4.00% |
| Neo C7 Relic | Rare | 4.80% |
| Neo S20 Relic | Rare | 4.80% |
| Neo P10 Relic | Rare | 4.80% |
| Neo N24 Relic | Rare | 4.80% |
| Neo V11 Relic | Rare | 4.80% |
| Neo K9 Relic | Rare | 4.80% |
| Neo T10 Relic | Rare | 4.80% |
| Neo V9 Relic | Rare | 4.80% |
| Axi V10 Relic | Rare | 4.80% |
| Axi S8 Relic | Rare | 4.80% |
**Rotation B:**
| Item | Rarity | Chance |
|---|---|---|
| Spectra Vandal Blueprint | Rare | 8.70% |
| Spectra Vandal Barrel | Rare | 6.52% |
| Spectra Vandal Chassis | Rare | 6.52% |
| Spectra Vandal Handle | Rare | 6.52% |
| 450 Endo | Uncommon | 17.39% |
| 1200 Endo | Uncommon | 13.04% |
| 450 Endo | Rare | 8.70% |
| 600 Endo | Rare | 4.35% |
| Ignis Wraith Blueprint | Rare | 8.70% |
| Neo V9 Relic | Rare | 6.52% |
