# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Scrofa Obviator
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Scrofa Provisor
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Scrofa Shield Osprey
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Magazine Warp | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| Fury | Rare | 3.69% |
| Convulsion | Rare | 3.69% |
| Hawk Eye | Rare | 3.69% |
| Sinister Reach | Rare | 3.69% |
| Shotgun Barrage | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Concealed Explosives | Legendary | 0.67% |
| Metal Auger | Legendary | 0.67% |
| Shock Absorbers | Legendary | 0.67% |

## Scrofa Elite Crewman
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Fury | Rare | 4.42% |
| No Return | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Chilling Grasp | Rare | 4.42% |
| Shotgun Savvy | Rare | 4.42% |
| Guardian Derision | Legendary | 0.50% |
| Jagged Edge | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |

## Syzygy Attack Drone
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Syzygy Light Trencher
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Syzygy Mite Raknoid
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Syzygy Shockwave Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Syzygy Denial Bursa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Life Strike | Rare | 2.01% |

## Syzygy Sniper Ranger
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Fury | Rare | 4.42% |
| No Return | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Chilling Grasp | Rare | 4.42% |
| Shotgun Savvy | Rare | 4.42% |
| Guardian Derision | Legendary | 0.50% |
| Jagged Edge | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |

## Syzygy Prod Crewman
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Fury | Rare | 4.42% |
| No Return | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Chilling Grasp | Rare | 4.42% |
| Shotgun Savvy | Rare | 4.42% |
| Guardian Derision | Legendary | 0.50% |
| Jagged Edge | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |

## Scrofa Legionary
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Scrofa Research Chief
**Base Mod Drop Chance:** 4.00%
| Mod | Rarity | Chance |
|---|---|---|
| Combustion Beam | Uncommon | 25.00% |
| Gaia's Tragedy | Uncommon | 25.00% |
| Vulpine Mask | Uncommon | 25.00% |
| 80 Endo | Uncommon | 25.00% |

## Scrofa Laser Moa
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Scrofa Heavy Trencher
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Scrofa Light Trencher
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Scrofa Mine Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Sinister Reach | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Concealed Explosives | Legendary | 0.67% |
| Metal Auger | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Scrofa Mite Raknoid
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Scrofa Lythrum Raknoid
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Scrofa Latro Raknoid
**Base Mod Drop Chance:** 30.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 38.72% |
| Reach | Common | 38.72% |
| Shocking Touch | Rare | 3.22% |
| Molten Impact | Rare | 3.22% |
| North Wind | Rare | 3.22% |
| Reflex Coil | Rare | 3.22% |
| Fever Strike | Rare | 3.22% |
| Stretch | Rare | 3.22% |
| Wise Razor | Rare | 3.22% |

## Scrofa Railgun Moa
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Scrofa Grenadier Crewman
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Fury | Rare | 4.42% |
| No Return | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Chilling Grasp | Rare | 4.42% |
| Shotgun Savvy | Rare | 4.42% |
| Guardian Derision | Legendary | 0.50% |
| Jagged Edge | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |

## Scrofa Shockwave Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Scrofa Plasmor Crewman
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Fury | Rare | 4.42% |
| No Return | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Chilling Grasp | Rare | 4.42% |
| Shotgun Savvy | Rare | 4.42% |
| Guardian Derision | Legendary | 0.50% |
| Jagged Edge | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |

## Scrofa Sniper Ranger
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Fury | Rare | 4.42% |
| No Return | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Chilling Grasp | Rare | 4.42% |
| Shotgun Savvy | Rare | 4.42% |
| Guardian Derision | Legendary | 0.50% |
| Jagged Edge | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |

## Scrofa Decoy Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Scrofa Energy Chief
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Strain Eruption | Uncommon | 25.00% |
| Strain Fever | Uncommon | 25.00% |
| Strain Infection | Uncommon | 25.00% |
| Strain Consume | Uncommon | 25.00% |

## Pyr Captain
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Searing Steel | Uncommon | 20.00% |
| Comet Blast | Uncommon | 20.00% |
| Quasar Drill | Uncommon | 20.00% |
| Zodiac Shred | Uncommon | 20.00% |
| Magma Chamber | Uncommon | 20.00% |

## Glacik Commander
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Meteor Crash | Uncommon | 20.00% |
| Nebula Bore | Uncommon | 20.00% |
| Astral Slash | Uncommon | 20.00% |
| Cryo Coating | Uncommon | 20.00% |
| Hypothermic Shell | Uncommon | 20.00% |

## Lektro Commander
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Infusion | Uncommon | 20.00% |
| Comet Blast | Uncommon | 20.00% |
| Quasar Drill | Uncommon | 20.00% |
| Zodiac Shred | Uncommon | 20.00% |
| Charged Bullets | Uncommon | 20.00% |

## Blite Captain
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Meteor Crash | Uncommon | 20.00% |
| Nebula Bore | Uncommon | 20.00% |
| Astral Slash | Uncommon | 20.00% |
| Infectious Injection | Uncommon | 20.00% |
| Contamination Casing | Uncommon | 20.00% |

## Taro Crewship
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 77.44% |
| 50 Endo | Uncommon | 22.56% |

## Elite Taro Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Fire Suppression | Common | 59.66% |
| Munitions Vortex | Uncommon | 12.32% |
| Scourging Warheads | Uncommon | 12.32% |
| Raider Matrix | Uncommon | 12.32% |
| Blackout Pulse | Rare | 1.12% |
| Granum's Nemesis | Rare | 1.12% |
| Forward Artillery | Rare | 1.12% |

## Taro Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 75.88% |
| Protective Shots | Rare | 7.37% |
| Raider Matrix | Rare | 7.37% |
| Cruising Speed | Rare | 7.37% |
| Crimson Fugue | Rare | 1.01% |
| Forward Artillery | Rare | 1.01% |

## Elite Orm Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Shatter Burst | Common | 34.55% |
| Breach Quanta | Uncommon | 16.25% |
| Fire Suppression | Uncommon | 16.25% |
| Orgone Tuning Matrix | Uncommon | 15.10% |
| Flow Burn | Uncommon | 15.10% |
| Defensive Fire | Rare | 1.37% |
| Forward Artillery | Rare | 1.37% |

## Orm Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Shatter Burst | Uncommon | 25.29% |
| Breach Quanta | Uncommon | 25.29% |
| Fire Suppression | Uncommon | 25.29% |
| Orgone Tuning Matrix | Uncommon | 11.06% |
| Flow Burn | Uncommon | 11.06% |
| Defensive Fire | Rare | 1.01% |
| Artillery Cheap Shot | Rare | 1.01% |

## Orm Gox
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 51.52% |
| Tether | Rare | 5.56% |
| Orgone Tuning Matrix | Rare | 5.56% |
| Ironclad Matrix | Rare | 5.56% |
| Raider Matrix | Rare | 5.56% |
| Battle Forge | Rare | 5.56% |
| Form Up | Rare | 5.56% |
| Battle Stations | Rare | 5.56% |
| Intruder Stasis | Rare | 5.56% |
| Defensive Fire | Rare | 2.02% |
| Fortifying Fire | Rare | 2.02% |

## Elite Orm Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Uncommon | 29.83% |
| Void Cloak | Uncommon | 29.83% |
| Munitions Vortex | Uncommon | 12.32% |
| Section Density | Uncommon | 12.32% |
| Onslaught Matrix | Uncommon | 12.32% |
| Fortifying Fire | Rare | 3.36% |

## Orm Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Common | 37.94% |
| Void Cloak | Common | 37.94% |
| Munitions Vortex | Rare | 7.37% |
| Section Density | Rare | 7.37% |
| Onslaught Matrix | Rare | 7.37% |
| Fortifying Fire | Rare | 2.01% |

## Elite Orm Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Indomitable Matrix | Common | 78.57% |
| Seeker Volley | Rare | 7.14% |
| Defensive Fire | Rare | 3.57% |
| Fortifying Fire | Rare | 3.57% |
| Artillery Cheap Shot | Rare | 3.57% |
| Revo Reducer | Rare | 3.57% |

## Orm Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Seeker Volley | Common | 45.83% |
| Indomitable Matrix | Common | 45.83% |
| Defensive Fire | Rare | 2.08% |
| Fortifying Fire | Rare | 2.08% |
| Artillery Cheap Shot | Rare | 2.08% |
| Revo Reducer | Rare | 2.08% |

## Elite Taro Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Overloader | Common | 47.48% |
| Ripload | Uncommon | 22.33% |
| Ironclad Matrix | Uncommon | 13.84% |
| Scourging Warheads | Uncommon | 13.84% |
| Ordnance Cheap Shot | Legendary | 0.84% |
| Granum's Nemesis | Legendary | 0.84% |
| Squad Renew | Legendary | 0.84% |

## Taro Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Overloader | Uncommon | 25.29% |
| Ripload | Uncommon | 25.29% |
| Hyperstrike | Uncommon | 25.29% |
| Ironclad Matrix | Rare | 7.37% |
| Warhead | Rare | 7.37% |
| Protective Shots | Rare | 7.37% |
| Crimson Fugue | Rare | 2.01% |

## Elite Axio Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Fire Suppression | Common | 59.66% |
| Munitions Vortex | Rare | 9.24% |
| Orgone Tuning Matrix | Rare | 9.24% |
| Scourging Warheads | Rare | 9.24% |
| Predator | Rare | 9.24% |
| Blackout Pulse | Rare | 1.12% |
| Granum's Nemesis | Rare | 1.12% |
| Sentient Scalpel | Rare | 1.12% |

## Axio Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Fire Suppression | Common | 75.88% |
| Munitions Vortex | Rare | 5.53% |
| Orgone Tuning Matrix | Rare | 5.53% |
| Scourging Warheads | Rare | 5.53% |
| Predator | Rare | 5.53% |
| Blackout Pulse | Legendary | 0.67% |
| Ordnance Cheap Shot | Legendary | 0.67% |
| Granum's Nemesis | Legendary | 0.67% |

## Axio Gox
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 69.81% |
| Tether | Rare | 3.46% |
| Scourging Warheads | Rare | 3.46% |
| Onslaught Matrix | Rare | 3.46% |
| Indomitable Matrix | Rare | 3.46% |
| Battle Forge | Rare | 3.46% |
| Form Up | Rare | 3.46% |
| Battle Stations | Rare | 3.46% |
| Intruder Stasis | Rare | 3.46% |
| Granum's Nemesis | Rare | 2.52% |

## Elite Axio Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ripload | Common | 59.66% |
| Scourging Warheads | Uncommon | 12.32% |
| Section Density | Uncommon | 12.32% |
| Raider Matrix | Uncommon | 12.32% |
| Granum's Nemesis | Rare | 1.12% |
| Revo Reducer | Rare | 1.12% |
| Squad Renew | Rare | 1.12% |

## Axio Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ripload | Common | 75.88% |
| Scourging Warheads | Rare | 7.37% |
| Section Density | Rare | 7.37% |
| Raider Matrix | Rare | 7.37% |
| Ordnance Cheap Shot | Legendary | 0.50% |
| Granum's Nemesis | Legendary | 0.50% |
| Revo Reducer | Legendary | 0.50% |
| Squad Renew | Legendary | 0.50% |

## Elite Axio Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hyperstrike | Common | 41.03% |
| Ion Burn | Common | 41.03% |
| Onslaught Matrix | Rare | 5.98% |
| Phoenix Blaze | Rare | 3.26% |
| Scourging Warheads | Rare | 3.26% |
| Warhead | Rare | 3.26% |
| Granum's Nemesis | Rare | 2.17% |

## Axio Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Hyperstrike | Common | 37.94% |
| Ion Burn | Common | 37.94% |
| Phoenix Blaze | Rare | 7.37% |
| Scourging Warheads | Rare | 7.37% |
| Warhead | Rare | 7.37% |
| Granum's Nemesis | Rare | 2.01% |

## Elite Taro Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 59.66% |
| Predator | Rare | 9.24% |
| Section Density | Rare | 9.24% |
| Onslaught Matrix | Rare | 9.24% |
| Cruising Speed | Rare | 9.24% |
| Revo Reducer | Rare | 1.68% |
| Conic Nozzle | Rare | 1.68% |

## Taro Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Protective Shots | Uncommon | 22.92% |
| Predator | Uncommon | 22.92% |
| Section Density | Uncommon | 22.92% |
| Onslaught Matrix | Uncommon | 22.92% |
| Crimson Fugue | Rare | 4.17% |
| Revo Reducer | Rare | 4.17% |

## Elite Vorac Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Overloader | Common | 34.55% |
| Quicklock | Uncommon | 16.25% |
| Fire Suppression | Uncommon | 16.25% |
| Munitions Vortex | Uncommon | 15.10% |
| Waveband Disruptor | Uncommon | 15.10% |
| Blackout Pulse | Rare | 1.37% |
| Worm's Torment | Rare | 1.37% |

## Vorac Basilisk
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Quicklock | Uncommon | 25.29% |
| Overloader | Uncommon | 25.29% |
| Fire Suppression | Uncommon | 25.29% |
| Munitions Vortex | Uncommon | 11.06% |
| Waveband Disruptor | Uncommon | 11.06% |
| Blackout Pulse | Legendary | 0.67% |
| Worm's Torment | Legendary | 0.67% |
| Sentient Scalpel | Legendary | 0.67% |

## Vorac Gox
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Countermeasures | Common | 71.82% |
| Orgone Tuning Matrix | Rare | 3.16% |
| Ironclad Matrix | Rare | 3.16% |
| Waveband Disruptor | Rare | 3.16% |
| Raider Matrix | Rare | 3.16% |
| Battle Forge | Rare | 3.16% |
| Form Up | Rare | 3.16% |
| Battle Stations | Rare | 3.16% |
| Intruder Stasis | Rare | 3.16% |
| Worm's Torment | Rare | 2.59% |
| Tether | Legendary | 0.29% |

## Elite Vorac Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ripload | Common | 59.66% |
| Waveband Disruptor | Uncommon | 18.49% |
| Onslaught Matrix | Uncommon | 18.49% |
| Worm's Torment | Legendary | 0.67% |
| Sentient Scalpel | Legendary | 0.67% |
| Forward Artillery | Legendary | 0.67% |
| Revo Reducer | Legendary | 0.67% |
| Squad Renew | Legendary | 0.67% |

## Vorac Harpi
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ripload | Common | 75.88% |
| Waveband Disruptor | Uncommon | 11.06% |
| Onslaught Matrix | Uncommon | 11.06% |
| Ordnance Cheap Shot | Legendary | 0.67% |
| Worm's Torment | Legendary | 0.67% |
| Squad Renew | Legendary | 0.67% |

## Elite Vorac Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 79.89% |
| Waveband Disruptor | Rare | 5.82% |
| Indomitable Matrix | Rare | 5.82% |
| Phoenix Blaze | Rare | 3.17% |
| Warhead | Rare | 3.17% |
| Worm's Torment | Rare | 2.12% |

## Vorac Weaver
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ion Burn | Common | 75.88% |
| Phoenix Blaze | Rare | 5.53% |
| Waveband Disruptor | Rare | 5.53% |
| Warhead | Rare | 5.53% |
| Indomitable Matrix | Rare | 5.53% |
| Worm's Torment | Rare | 2.01% |

## Comet Shard
**Base Mod Drop Chance:** 20.00%
| Mod | Rarity | Chance |
|---|---|---|
| Bleeding Edge | Common | 37.94% |
| 15 Endo | Common | 37.94% |
| Blazing Steel | Rare | 7.37% |
| Energy Amplifier | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Dual Rounds | Rare | 2.01% |

## Corpus Ramsled
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Shatter Burst | Common | 35.53% |
| Flow Burn | Uncommon | 31.06% |
| Breach Quanta | Uncommon | 16.71% |
| Fire Suppression | Uncommon | 16.71% |

## Exo Raider
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Conductive Blade | Rare | 7.37% |
| Resolute Focus | Rare | 7.37% |
| Electrified Barrel | Rare | 7.37% |
| Deadly Efficiency | Rare | 2.01% |

## Exo Raider Carver
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Conductive Blade | Rare | 7.37% |
| Resolute Focus | Rare | 7.37% |
| Electrified Barrel | Rare | 7.37% |
| Deadly Efficiency | Rare | 2.01% |

## Exo Raider Eviscerator
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 37.94% |
| Energy Inversion | Common | 37.94% |
| Conductive Blade | Rare | 7.37% |
| Resolute Focus | Rare | 7.37% |
| Electrified Barrel | Rare | 7.37% |
| Deadly Efficiency | Rare | 2.01% |

## Kosma Raider
**Base Mod Drop Chance:** 5.00%
| Mod | Rarity | Chance |
|---|---|---|
| Tempered Blade | Common | 37.94% |
| Parallax Scope | Common | 37.94% |
| Conductive Blade | Rare | 7.37% |
| Ammo Chain | Rare | 7.37% |
